Year,Frequency,Attribute,Commodity,Unit,U.S. - Central IL,"U.S. - Gulf ports, LA","U.S. - Omaha, NE","U.S. - Chicago, IL","U.S. - Kansas City, MO","U.S. - Toledo, OH","U.S. - Memphis, TN","U.S. - Minneapolis, MN"
2014,Jul,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.74,4.64,3.64,3.87,3.905,3.695,4.055,3.58
2014,Aug,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.59,4.48,3.525,3.78,3.65,3.535,3.75,3.36
2014,Sep,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.16,4.14,3.225,3.6,3.23,3.335,3.25,3.1
2014,Oct,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.09,4.15,3.045,3.465,2.965,3.3,3.29,3.05
2014,Nov,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.45,4.54,3.445,3.65,3.355,3.51,3.89,3.3
2014,Dec,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.75,4.55,3.79,3.9,3.765,3.795,4.115,3.59
2015,Jan,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.67,4.44,3.7,3.865,3.81,3.725,4.04,3.57
2015,Feb,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.65,4.41,3.75,3.845,3.765,3.73,4.06,3.58
2015,Mar,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.66,4.43,3.815,3.86,3.83,3.78,4.08,3.58
2015,Apr,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.59,4.375,3.72,3.805,3.75,3.7,3.98,3.58
2015,May,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.49,4.225,3.6,3.66,3.705,3.57,3.815,3.42
2015,Jun,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.52,4.235,3.635,3.68,3.695,3.63,3.815,3.37
2015,Jul,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.85,4.56,3.895,4.07,4.025,4.09,4.165,3.71
2015,Aug,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.51,4.135,3.61,3.75,3.675,3.77,3.6,3.37
2015,Sep,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.55,4.215,3.56,3.84,3.63,3.74,3.61,3.29
2015,Oct,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.67,4.36,3.56,3.9,3.84,3.83,3.72,3.33
2015,Nov,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.62,4.215,3.52,3.79,3.755,3.81,3.835,3.34
2015,Dec,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.62,4.17,3.585,3.78,3.735,3.8,3.815,3.27
2016,Jan,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.55,4.09,3.54,3.73,3.74,3.72,3.7,3.18
2016,Feb,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.56,4.055,3.525,3.705,3.78,3.725,3.665,3.08
2016,Mar,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.54,4.045,3.475,3.71,3.69,3.73,3.725,3.26
2016,Apr,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.61,4.17,3.545,3.695,3.61,3.78,3.78,3.47
2016,May,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.74,4.295,3.635,3.91,3.845,3.67,3.955,3.61
2016,Jun,"Prices, market","Corn, No. 2 yellow",Dollars per bushel,3.91,4.6,3.8,4.1,4.01,4.085,4.135,3.77
