,Company Name,Job Title,Location,Salary Index,Summary
16,"Illumina, Inc.",Research Associate- Scientist,San+Francisco%2C+CA,0.0,"Strong bioinformatics, data analysis and visualization skills are plus, such as command line operation, NGS data analysis toolkit, R script and so on...."
17,Samba TV,"Research Scientist, Video and Image Processing",San+Francisco%2C+CA,0.0,"Solid foundation in computer science, with strong competencies in data structures, algorithms and software design...."
18,Realogy Corporate,Junior Data Scientist,San+Francisco%2C+CA,0.0,"Junior Data Scientist. The Junior Data Scientist will work closely with ZipRealty’s data science team, product managers, engineers and leadership team to..."
19,Genentech,"Bioinformatics Scientist, Cancer Immunology",San+Francisco%2C+CA,0.0,"Exceptionally strong communication, data presentation and visualization skills. Broad experience with data generated by one or more high-throughput molecular..."
20,SEIU United Health Care Workers,Research Analyst,San+Francisco%2C+CA,0.0,Position Summary : Our Research Department is responsible for providing strategic support for any of our campaigns to build power and improve standards for
21,University of California San Francisco,Financial / Post-award Analyst,San+Francisco%2C+CA,0.0,"By fostering cross-disciplinary interactions among scientists around the world, we accelerate the pace of discovery and champion the University’s global health..."
22,University of California San Francisco,Department Financial Analyst,San+Francisco%2C+CA,0.0,Develop data sources; Experience with database creation/ data management and validation and data mapping. Knowledge of how to research data;...
23,Trulia,Quantitative Analyst,San+Francisco%2C+CA,0.0,Experience with Big Data tools such as Hive/Presto. 3-5 years of experience working with data and performing analysis....
24,Kaiser Permanente,Research Scientist I Investigator,San+Francisco%2C+CA,0.0,Seeks consultation from senior scientists for specific scientific and administrative issues. Works independently with general supervision by higher level...
25,Colliers International | Oakland,Research Analyst,San+Francisco%2C+CA,0.0,Compile statistical data specific to client or service line by translating and converting data to graphs/tables/charts....
26,UCSF,Postdoctoral Fellow,San+Francisco%2C+CA,0.0,"(2) strong skills in data management of complex data sets, including longitudinal, nested data sets; Additional desired qualifications include familiarity with..."
27,Payette Group,Data Scientist,San+Francisco%2C+CA,0.0,Having tens of thousands of debtors and contacting them multiple times via various channels creates a lot of data....
28,AncestryDNA,Bioinformatic Analyst,San+Francisco%2C+CA,0.0,"Working with a nimble team of physicians, geneticists, statisticians, computer scientists and epidemiologists, the Bioinformatic Analyst will use these..."
29,Nuna,Commercial Health Data Analyst,San+Francisco%2C+CA,0.0,"Works with consultants, analysts and data scientists to produce accurate monthly reports/dashboards on time for employer groups...."
30,Children's Hospital & Research Center Oakland,Assistant Scientist,San+Francisco%2C+CA,0.0,"Additionally, this position will support development of research protocols, data collection tools, and analysis of data;..."
31,MetaMind,"Research Intern, Deep Learning",San+Francisco%2C+CA,0.0,"As a [Deep Learning Research Intern], you will work with a team of Research Scientists and Engineers tackling real-world problems involving challenging data..."
32,Virtually Live,Data Scientist,San+Francisco%2C+CA,0.0,Apply machine learning techniques on large data sets of sports data to identify events of interest in data....
33,Dechert LLP,Research Analyst,San+Francisco%2C+CA,0.0,The Research Analyst is responsible providing research services to the entire Firm. Research and References: - Conduct efficient and cost effective research
34,CBS Television Stations,Research Analyst,San+Francisco%2C+CA,0.0,Process requests for qualitative data (Scarborough/ /Nielsen). Process requests for spending reports (Kantar) and SQAD data. # Research Analyst....
35,Teva Pharmaceuticals,"Position Title: Research Scientist I , Biologics",San+Francisco%2C+CA,0.0,"Participation in group meetings, interpreting data and presenting research results. Teva's Global Biologics group located in Redwood City, CA, is seeking a..."
36,General Assembly,Data Science Instructor,San+Francisco%2C+CA,0.0,"Our Data Science Immersive course is a brand-new, life-changing educational experience where students leave with the skills and mindsets to take on new careers..."
37,Boutique Air,Research Analyst,San+Francisco%2C+CA,0.0,Excellent data collection and analysis skills. Conduct industry-specific data analyses and present findings in a clear and concise manner....
38,Metabiota,Scientific Marketing Intern,San+Francisco%2C+CA,0.0,"Interact with scientists at Metabiota’s DC, SF, and Canada Offices as well as African and Asian facilities. In this role you will be responsible for developing..."
39,Omada Health,"User Insights Researcher, Product",San+Francisco%2C+CA,0.0,Digging into the whys behind patterns in our data. Experience synthesizing survey data and interview insights for/with product teams....
40,Vedicsoft,Quantitative Analyst,San+Francisco%2C+CA,0.0,"Ability to build data sets for operational and exploratory analysis,. Excellent quantitative and analytical skills,...."
41,IntraNotice Technologies,Marketing and Market Research Analyst,San+Francisco%2C+CA,0.0,IntraNotice Technologies is seeking a Marketing and Market Research Analyst for our cloud enterprise software for law firms and compliance management. We are
42,PT Systems,Data Scientist,San+Francisco%2C+CA,0.0,Data Scientist Location:. You will be responsible for creating data products with direct visibility from users.Requirements• Masters/PhD degree in STEM field •...
43,Summit Public Schools,Manager of Data Analysis,San+Francisco%2C+CA,0.0,Troubleshoot data issues to ensure accuracy of data reporting. Summit Public Schools is seeking a Manager of Data Analysis to transform data into insights for...
44,TCM,Qualitative Research Analyst,San+Francisco%2C+CA,0.0,"We are looking for a bright, creative and resourceful individual to conduct research for a San Francisco-based investment firm Responsibilities include:  *"
45,University of California Berkeley,Post-Doctoral Scholar-Employee: Analysis of omics data,San+Francisco%2C+CA,0.0,Demonstrated experience with programming for biological data analysis and familiarity with functional genetic and/or genomic data is expected....
46,California State University,"Administrative Analyst/Specialist, Exempt I - Office of Rese...",San+Francisco%2C+CA,0.0,Compile and analyze data for written reports and presentations. Analyze data and make accurate projections using standard budgeting and accounting practices;...
47,Aduro Biotech,Research Associate – Medicinal Chemistry,San+Francisco%2C+CA,0.0,"Capable of working independently with minimal supervision, including the ability to analyze data and understand, interpret, and present the final results...."
48,Walmart eCommerce,Research and Analytics,San+Francisco%2C+CA,0.0,The team will consist of other behavioral scientists with various skill sets. The position is an applied role involving data analytics supporting projects the...
49,Stitch Fix,Men's Editorial Lead,San+Francisco%2C+CA,0.0,You'll have access to world-class data scientists (and data) to help conceptualize story ideas. A strong background integrating data into content....
50,Academy of Art University,Institutional Research Analyst,San+Francisco%2C+CA,0.0,"Support with data extraction, data cleaning and maintenance of the IR data warehouse. Experience with data warehousing tools and data warehousing concepts...."
51,Kaiser Permanente,Research Evidence Analyst,San+Francisco%2C+CA,0.0,Conduct quality control checks of the data extracted by the vendor into the study data repository. Party EBM support vendor on final set of included articles...
52,AppDirect,Machine Learning Engineer,San+Francisco%2C+CA,0.0,"Extract, enhance and clean diverse data types ingested from cloud-based applications. AppDirect is the cloud service commerce leader making software and..."
53,R&D Partners,"Associate Scientist / Scientist I, Protein Arrays - Data Ana...",San+Francisco%2C+CA,0.0,"Associate Scientist / Scientist I. Experience with Protein Arrays and Data Analysis. This successful candidate will run antibodies on protein arrays, scan the..."
54,Adobe,Search Scientist,San+Francisco%2C+CA,0.0,Strong familiarity with AWS data mining processes. Adobe is looking for a full time employee to join the Adobe Search team as an applied data scientist /...
55,L-3 Communications,Quality Data and Records Analyst,San+Francisco%2C+CA,0.0,Quality Data and Records Analyst. Relevant experience in business data processing a plus. Input data needed to support processing of non-conforming items....
56,Zymergen,"Research Associate, Development",San+Francisco%2C+CA,0.0,"Operations and Data Analysis:. Familiarity with concepts in statistics, tools to analyze data such as excel, jmp, or Spotfire...."
57,University of California San Francisco,Clinical Research Management Analyst,San+Francisco%2C+CA,0.0,"Extensive knowledge of study design criteria, data collection and sampling strategies, and data analysis procedures...."
58,Adobe,Research Scientist,San+Francisco%2C+CA,0.0,Adobe's Creative Technologies Lab invites applications for a Research Scientist position. We're the ones behind the gorgeously designed content that streams...
59,XQ: The Super School Project,Senior Research Analyst,San+Francisco%2C+CA,0.0,"Expertise with Excel, PowerPoint, Keynote in a MAC environment and specific data analytics tools to mine data...."
60,Genentech,Scientific Researcher/ Senior Scientific Researcher - Fibros...,San+Francisco%2C+CA,0.0,The position will report to a lead Scientist for the Department's lung fibrosis program. Experience with large sample and data sets and bioinformatics skills...
61,University of California Berkeley,"Program Manager - Center for Global Public Health ,",San+Francisco%2C+CA,0.0,"Able to identify better tools to manage data when necessary. Able to foster collaborative relationships with a broad range of stakeholders, including scientists..."
62,Supercell,Brand Marketing,San+Francisco%2C+CA,0.0,Measure campaign and brand performance with external research partners and Supercell’s data/rocket scientists....
63,"Acumen, LLC",Data and Policy Analyst - Statistical Programmer,San+Francisco%2C+CA,0.0,"Data and Policy Analysts perform a wide array of functions as part of the research process. This position is responsible for managing and analyzing data,..."
64,The Nielsen Company,Research Analyst,San+Francisco%2C+CA,0.0,"Very strong quantitative, data tabulation, analytic thinking and data mining skills. Perform strong Quality Assurance checks on poll grammar and tone, data..."
65,Guidepoint Global,Research Analyst (San Francisco),San+Francisco%2C+CA,0.0,"Overview: Where else can you begin your career with the opportunity to spend each day talking to some of the brightest professional minds – doctors,"
66,"23andMe, Inc.",Computational Biologist,San+Francisco%2C+CA,0.0,We are looking for a talented scientist to work on drug discovery using genetic and genomic data. We have a highly interactive research environment using the...
67,University of California San Francisco,Staff Research Associate I/II,San+Francisco%2C+CA,0.0,"Oversight of MR scan data acquisitions, data transfer and reporting, development of new strategies for automated processing;..."
68,Pivot Bio,Strain Analytics Research Associate,San+Francisco%2C+CA,0.0,Data produced will be shared with multiple groups within the company and experiments will be conducted independently and under the guidance of Analytics...
69,Hart,Associate Scientist,San+Francisco%2C+CA,0.0,"Communicates data and interpretation to work group. Plans, monitors or conducts, analyzes and records experiments, and provides interpretation of data...."
70,Counsyl,Intake Associate (Part-time),San+Francisco%2C+CA,0.0,"Manage, cross-check, record, and update and input data from a variety of sources. Currently enrolled in college, OR hold an Associate's degree OR HS diploma..."
71,MakroScientific,Research Associate,San+Francisco%2C+CA,0.0,"Biological image data analysis, using microscopy, programming skills (MATLAB or R):. Must have working experience or extensive course work related to..."
72,Natera,"Senior Data Scientist, Algorithm Development",San+Francisco%2C+CA,0.0,Experience with genetic data or high throughput sequencing. Natera is currently seeking a Senior Data Scientist who will play a key role in development of new...
73,Cytel,Contract Senior Statistical Programmer,San+Francisco%2C+CA,0.0,"Excellent SAS data manipulation, analysis and reporting skills. Familiarity with drug development life cycle and experience with the manipulation, analysis and..."
74,"Montrose Environmental Group, Inc.",Environmental Field Sampling Technician,San+Francisco%2C+CA,0.0,Use a Gas Emission Monitor (GEM 2000) to take landfill gas readings and download and email the data. The position requires the candidate to deliver field data...
75,Natera,Clinical Data Operator Tier 2,San+Francisco%2C+CA,0.0,Assist in training Clinical Data Operator (CDO). Assist other Clinical Data Operator (CDO) in resolving sample escalations....
76,Fanatics Inc.,"MTS 1, Data Scientist",San+Francisco%2C+CA,0.0,"Ability to use SQL to perform data analysis. At Fanatics, we are passionate about leveraging data to drive growth and operational efficiencies...."
77,Nektar,"Associate Scientist, Translational Research",San+Francisco%2C+CA,0.0,Works on complex issues where analysis of situations or data requires an in-depth evaluation of variable factors....
78,Stemcentrx,QC Scientist,San+Francisco%2C+CA,0.0,Review data generated by other analysts for correctness and compliance with cGMP standards. Support QC testing for antibody drug conjugates....
79,MakroScientific,Lab Technician,San+Francisco%2C+CA,0.0,"Experience in statistical analysis of data sets and presentation of scientific data. Collect and analyze data, and present results...."
80,Miroculus,MIROCULUS - RESEARCH ASSOCIATE,San+Francisco%2C+CA,0.0,"Ensure data sufficiency and completeness of results. Plan and execute assays, and analyse data. The candidate will be providing general laboratory support for..."
81,Children's Hospital & Research Center Oakland,Staff Scientist,San+Francisco%2C+CA,0.0,"Additionally, this position will support development of research protocols, data collection tools, and analysis of data;..."
82,University of California Berkeley,Lecturer - Statistics - Department of Statistics (includes s...,San+Francisco%2C+CA,0.0,Concepts in Computing with Data. (On reproducible and collaborative statistical data science). Introduction to Probability & Statistics for Life Scientists....
83,EMC Research,Research Analyst,San+Francisco%2C+CA,0.0,Familiarity with databases and large data structures. The Analyst will learn data management processes and use statistical programs like SPSS and R to analyze...
84,"GRAIL, Inc.",SCIENTIST,San+Francisco%2C+CA,0.0,"Strong data analysis and interpretation skill. As a Scientist in GRAIL’s R&D Group, you will play an integral role in the development of technology and..."
85,BioMarin Pharmaceutical Inc.,"Analyst, QC In-Process",San+Francisco%2C+CA,0.0,"Evaluate completed assay validity, calculate and summarize results, analyze data per expected or specification ranges...."
86,Rad Gov INC,Assistant Scientist I/II Preclinical Development,San+Francisco%2C+CA,0.0,"The candidate will work closely with senior scientists within the group to support discovery project teams which may include data presentation in team meetings,..."
87,"Integrated DNA Technologies, Inc",Research Scientist II,San+Francisco%2C+CA,0.0,"Strong data analysis and experiment troubleshooting skills required. Analyzes raw data, reports results and plans the next steps...."
88,"4INFO, Inc.",DATA SCIENTIST,San+Francisco%2C+CA,0.0,"DATA SCIENTIST Company: 4INFO, Inc. Location: San Mateo, CA Position Type: Full Time Experience: Unspecified Education: Master's Degree DATA SCIENTIST...."
89,4D Molecular Therapeutics,Histologist,San+Francisco%2C+CA,0.0,"Collaborate with internal and external scientists to meet their needs, explaining histological findings and providing data driven suggestions...."
90,Lyft Corporate,Research & Insights Analyst,San+Francisco%2C+CA,0.0,"In-person, web, mobile, secondary market research, internal and third-party data, etc. Detailed analysis of large data sets, including SQL and Excel proficiency..."
91,Blade Therapeutics,"Senior Research Associate/Scientist I, Translational Science",San+Francisco%2C+CA,0.0,"Analyzing and interpreting data. Strong data analysis skills, including experience with statistics and pathway analysis;..."
92,IDG Consulting Inc,Junior Analyst/Research Assistant,San+Francisco%2C+CA,0.0,Help maintain databases and perform data pulls from Access. We are seeking a hard-working and driven individual to join our team of video game industry experts...
93,Zoomdata,Entry Level Inside Sales Representative,San+Francisco%2C+CA,0.0,"It’s been said that today’s “big data” is tomorrow’s normal data, and it shouldn’t take a Data Scientist to make is useful...."
94,Precision For Value,"Research Scientist, Advanced Modeling, Health Analytics",San+Francisco%2C+CA,0.0,"Administrative hospital data. Electronic health record data. Administrative health insurance claims data. Survey data (NHANES, MEPS, NHIS, HRS, etc.)...."
95,Genentech,Postdoctoral Research Fellow,San+Francisco%2C+CA,0.0,The position has plenty opportunities to interact and collaborate with scientists in a dynamic cancer immunotherapy community at Genentech (South San Francisco...
96,University of California Berkeley,"Part-Time: Faculty Support Administrator - QB3 ,",San+Francisco%2C+CA,0.0,"Ability to analyze different types of data. QB3 scientists make discoveries that drive the development of technologies, products, and wholly new industries,..."
97,BOLD,Senior Content Writer,San+Francisco%2C+CA,0.0,"Craft compelling narratives, press releases, infographic scripts, and more from proprietary data; Working directly with the Content Strategist and alongside a..."
98,Impossible Foods,Sensory Scientist,San+Francisco%2C+CA,0.0,"Strong technical, data interpretation, and project management skills. Coordinate, set up, administer, analyze data and report results of R&D internal and..."
99,The Climate Corporation,Recruiting Programs Specialist,San+Francisco%2C+CA,0.0,The Recruiting Programs Specialist will be critical to helping TCC scale our operations and continue to hire the best and brightest Engineers and Scientists....
100,"GRAIL, Inc.",STAFF SCIENTIST,San+Francisco%2C+CA,0.0,"Strong data analysis and interpretation skill. As a Staff Scientist in GRAIL’s R&D Group, you will play an integral role in the development of technology and..."
101,Gilead Sciences,"Research Scientist I, Analytical Ops",San+Francisco%2C+CA,0.0,"Presents results of work, interprets data, and draws conclusions regarding presented material and nature of work...."
102,ViewPoint Therapeutics,Research Scientist,San+Francisco%2C+CA,0.0,"ViewPoint is in search of a self-motivated, talented, entrepreneurial research scientist to carry out studies characterizing drug candidates...."
103,MakroScientific,Scientist I,San+Francisco%2C+CA,0.0,"Follows special instructions per SOPs or lead R&D scientist. Demonstrated skills in HPLC, UV, other analytical techniques and data analysis...."
104,Aduro Biotech,"Scientist, Medicinal Chemist – Drug Discovery Program",San+Francisco%2C+CA,0.0,"Apply structure-based drug design principles combined with a knowledge of other experimental data collected in the design of new molecules. Berkeley, CA – USA...."
105,Codexis,Research Associate or Scientist (biochemistry),San+Francisco%2C+CA,0.0,"Knowledge and skills to conduct biochemical assays, interpret data, and suggest improvements. Data analysis and utilization of a LIMS system to track samples..."
106,Genentech,"Postdoctoral Fellow, iPK",San+Francisco%2C+CA,0.0,"The candidate will also be expected to actively participate in study design, data analysis and manuscript writing...."
107,Makro Scientific,Associate Scientist II,San+Francisco%2C+CA,0.0,"You will perform testing of new, formulated reagents through functional assays and present data in a small team environment. South San Francisco, CA*...."
108,Perlstein Lab,Research Associate - Drug Discovery,San+Francisco%2C+CA,0.0,Under the guidance of a senior scientist:. Participates in weekly company meetings presents data and project plans....
109,Synvitrobio,Research Associate Scientist,San+Francisco%2C+CA,0.0,"Is hiring an exceptional Research Associate Scientist with strong experience in molecular biology, synthetic biology, and biochemistry to join our dynamic team..."
110,Udemy,Technical Course Creation Manager,San+Francisco%2C+CA,0.0,"Work cross-functionally with different teams at Udemy at different stages of each project (writer, designer, category manager, marketing team, learning..."
111,"LumiGrow, Inc.",Marketing Coordinator,San+Francisco%2C+CA,0.0,"Tracking sales data; Prepares marketing reports by collecting, analyzing, and summarizing sales data. Supports sales staff by providing sales data, market..."
112,"Equilar, Inc.",Fall 2016 Research Analyst and Leadership Rotation Program,San+Francisco%2C+CA,0.0,"You think analyzing compensation data sounds cool. You are passionate about data, numbers, and information. This is done by reading through, interpreting, and..."
113,Integreon,Legal Research Analyst/Intellectual Property Paralegal,San+Francisco%2C+CA,0.0,"Experience conducting in-depth research and analysis of Intellectual Property data to assemble, analyze and deliver patent and trademark information and draft..."
114,"Acumen, LLC",Data and Policy Analyst—Operations Coordinator (Research Ope...,San+Francisco%2C+CA,0.0,"Acumen, LLC and The SPHERE Institute conduct data analysis of health care policy at the national, state, and local levels...."
115,Precision For Value,"Research Scientist-Research Programming, Health Analytics",San+Francisco%2C+CA,0.0,"Administrative hospital data. Electronic health record data. Develop and implement data algorithms. Survey data (NHANES, MEPS, NHIS, HRS, etc.)...."
116,"Geosyntec Consultants, Inc.",Technical Editing Specialist (40318),San+Francisco%2C+CA,0.0,Search through EDR reports for data and use data to populate tables for ESA reports and QA/QC of data in tables for reports;...
117,Pacific Consulting Group,Marketing Research Analyst,San+Francisco%2C+CA,0.0,"Administrative work, including documentation and data archiving. Transform raw data into meaningful tables and banners...."
118,Berkeley Lights,Associate Cell Culture Biologist (Day shift or 2nd/swing shi...,San+Francisco%2C+CA,0.0,Detailed documentation of protocols & data. Our scientists develop unprecedented capabilities and revolutionize the biological sciences....
119,Rosen Consulting Group,Analyst - Real Estate Research,San+Francisco%2C+CA,0.0,"Analyze economic, demographic, real estate and financial data. Provide analytical support, including memos and data, to external clients...."
120,Bristol Myers Squibb,Research Associate 4 / Associate Scientist - Molecular B Cel...,San+Francisco%2C+CA,0.0,"Assist/Lead in designing experimental studies and perform necessary lab experimentation for data. Ability to propose creative solutions, troubleshoot problems,..."
121,"Bio-Rad, Inc.",Sr Scientist,San+Francisco%2C+CA,0.0,"High level ability to design efficient and meaningful experiments, generate reproducible data, analyze data, draw valid conclusions, and make realistic..."
122,Biorad,Sr Scientist,San+Francisco%2C+CA,0.0,"High level ability to design efficient and meaningful experiments, generate reproducible data, analyze data, draw valid conclusions, and make realistic..."
123,R&D Partners,Bioengineer Associate,San+Francisco%2C+CA,0.0,The Scientist I will become an expert on the theory and analysis of the data from the new Molecule Sequencing platform and help take the machine from an...
124,Intrexon Corporation.,"Senior Associate Scientist, Enzyme Engineering",San+Francisco%2C+CA,0.0,"Familiarity with statistical analysis of large data sets, data organization, and library design. Experience in carrying out high throughput screens and data..."
125,Galvanize,"Data Science Resident (DSR), Data Engineering Resident (DER)...",San+Francisco%2C+CA,0.0,"As part of the Residency program, you will receive dedicated mentorship from our expert instructors and faculty to cultivate your development as a data..."
126,Lancaster Laboratories,Protein Analytical Scientist,San+Francisco%2C+CA,0.0,"Perform review of analytical data. Prepare data for presentation and write technical reports. Protein Analytical Scientist responsibilities include, but are not..."
127,PPD,"Research Associate I/Associate Scientist-Small Molecule, GC-...",San+Francisco%2C+CA,0.0,Ability to apply analytical skills and judgement in assessing the quality of assay data and assay performance....
128,University of California San Francisco,Protocol Development Specialist,San+Francisco%2C+CA,0.0,"Demonstrated ability to work collaboratively with a diverse group of individuals in the clinical field such as principal investigators, scientists, and..."
129,Natera,"Clinical Research Associate, Oncology",San+Francisco%2C+CA,0.0,"Track participant data using in-house and CRO databases, and ensure that data queries are resolved. The Natera team consists of highly dedicated statisticians,..."
130,"Integrated DNA Technologies, Inc",Bioinformatics Staff Scientist,San+Francisco%2C+CA,0.0,The Bioinformatics Staff Scientist will support a group of experienced scientists to develop novel NGS applications....
131,Gilead,"Associate Scientist II, Analytical Ops",San+Francisco%2C+CA,0.0,Works on complex problems where analysis of situations or data requires comprehensive evaluation of many factors....
132,Bina Technologies Inc.,Clinical Genomics Scientist,San+Francisco%2C+CA,0.0,Clinical Genomics Scientist. We are seeking a Clinical Genomics Scientist with experience in and passion for translating genomic data into clinically meaningful...
133,The Public Library of Science (PLoS),Publications Assistant (Multiple Roles),San+Francisco%2C+CA,0.0,"Responsibilities Operating our online submission system to facilitate the peer review process for the journal Assisting authors, reviewers, and academic editors..."
134,West Coast Children's Clinic,Health Data Research Analyst,San+Francisco%2C+CA,0.0,The Health Data Research Analyst serves as an organizational data expert supporting projects that require analysis of client outcome data....
135,"Renewable Energy Group, Inc.","Scientist, Metabolic Engineering",San+Francisco%2C+CA,0.0,"Makes detailed observations, analyzes data and interprets results. Interpret complex data sets and propose research based on insight...."
136,Gilead Sciences,Senior Research Associate I Biology,San+Francisco%2C+CA,0.0,Develops skills in data analysis and ability to evaluate quality of data. Assist in interpretation and documentation of data;...
137,BioCentury Publications,Biopharma/Science Writer (Research Analyst),San+Francisco%2C+CA,0.0,"The responsibilities include writing news items, data collection, data entry and data curation. Demonstrate the ability to analyze, categorize and summarize key..."
138,Verti system,photo/video/Annotation Engineer (Please read Job description...,San+Francisco%2C+CA,0.0,"Data Annotation Engineer. As our Sample Data Annotation Engineer, you will collect and prepare media and sample data for training machine learning algorithms...."
139,The Veritas Healthcare Solutions LLC.,Scientist I/II,San+Francisco%2C+CA,0.0,"Analyzes experimental data using various data analysis software and/or applying quantitative methods. Works under general supervision, to conduct and monitor..."
140,Oneida Total Integrated Enterprises,Staff Environmental Scientist,San+Francisco%2C+CA,0.0,"STAFF ENVIRONMENTAL SCIENTIST. Provide data management of site sampling and analytical results. Strong computer skills, and experience collecting and managing..."
141,Promega Corporation,Client Support Specialist - San Fran East,San+Francisco%2C+CA,0.0,"Previous experience giving oral presentations, teaching or training other scientists. Use Sales Analysis and designated CRM to generate reports, manipulate data..."
142,BioPhase Solutions,Scientist 1 (Santa Clara),San+Francisco%2C+CA,0.0,"Perform sequencing experiments on a daily basis, and help data analysis interpret. This role is for a bioengineering related Scientist 1 to work in Sequencing...."
143,LabCorp,Clinical Lab Scientist - Front End (Monogram Biosciences),San+Francisco%2C+CA,0.0,"Supervises unlicensed laboratory staff and clinical laboratory scientists in training Coordinates with other clinical laboratory scientists, including..."
144,University of California San Francisco,Intellectual Property Manager,San+Francisco%2C+CA,0.0,"Additionally, PICI Member Researchers will regularly be sharing data and collaborating on research initiatives within the network...."
145,Exponent,Exposure Assessment Scientist,San+Francisco%2C+CA,0.0,"Compiling , entering, and managing data. Monitoring, entering, and processing data related to project work/studies...."
146,Intercom,Senior User Researcher,San+Francisco%2C+CA,0.0,Experience collaborating with quantitative researchers/data scientists. Benchmarking (evaluating competitors using qualitative and quantitative data)....
147,Gilead Sciences,"Associate Scientist II, Analytical Ops",San+Francisco%2C+CA,0.0,Works on complex problems where analysis of situations or data requires comprehensive evaluation of many factors....
148,University of California San Francisco,Research Financial Analyst (RFA),San+Francisco%2C+CA,0.0,The Department has a dedicated team of Research Financial Analysts (RFAs). In conjunction with the services provided by the division administrators and their
149,University of California San Francisco,Research Financial Analyst,San+Francisco%2C+CA,0.0,The Department of Medicine (DOM) has a dedicated team of Research Financial Analysts (RFAs). In conjunction with the services provided by the division
150,"GRAIL, Inc.",MACHINE LEARNING (and in particular DEEP LEARNING) SPECIALIS...,San+Francisco%2C+CA,0.0,Computer Scientists and Software Engineers. Largely without exception these breakthroughs have been enabled by access to vast data sets in these specific...
151,University of California Berkeley,"Database Administrator, GSE",San+Francisco%2C+CA,0.0,Ensures accuracy and completeness of data in master files and various support tools. Should be knowledgeable about professional approaches and relevant...
152,Vertisystem Inc.,Motion Graphics Designer,San+Francisco%2C+CA,0.0,"As our Sample Data Annotation Engineer, you will collect and prepare media and sample data for training machine learning algorithms...."
153,AbbVie,Scientist I,San+Francisco%2C+CA,0.0,Review and QC data. The Preclinical and Clinical Development Sciences department at....
154,SageMedic,Cancer Biologist,San+Francisco%2C+CA,0.0,"Minimum requirement is an advanced degree, ideally a PhD level scientist in biology or possibly in biomedical engineering or equivalent with at least 3 to 5..."
155,University of California San Francisco,Research Coordinator,San+Francisco%2C+CA,0.0,"Experience with data analysis. By fostering cross-disciplinary interactions among scientists around the world, we accelerate the pace of discovery and champion..."
156,Bina Technologies Inc.,Bioinformatics Analyst,San+Francisco%2C+CA,0.0,"Experience working with human genomic data, particularly next generation sequencing data. The complexity and sheer size of the data in the life sciences will..."
